Feature Cocoa,VIF
Open_Interest.t_1,45214075709.22928
Total_Reportable_Longs.t_1,34294944704.815025
Total_Reportable_Shorts.t_1,30503911508.042484
Producer_Shorts.t_1,1621394098.6501315
Producer_Longs.t_1,1456219983.9635146
Mon.t_1_Manager_Longs.t_1,942355654.0425047
Mon.t_1_Manager_Shorts.t_1,802434306.4608977
`Other Reportable Spreads.t_1`,797133725.3677088
Mon.t_1_Manager_Spreads.t_1,481129623.6422729
Swap_Dealer_Spreads.t_1,116535193.25162259
Other_Reportable_Longs.t_1,85822838.09438734
Swap_Dealer_Shorts.t_1,59550571.917209394
Non_Reportable_Longs.t_1,50041666.78167882
Swap_Dealer_Longs.t_1,46223998.0675293
Other_Reportable_Shorts.t_1,33348534.33016
Non_Reportable_Shorts.t_1,29571679.836279433
Mon.t_1_Manager_Longs.t,27.958629381930066
Mon.t_1_Manager_Shorts.t,20.140659410913006
Mon.t_1_Manager_Spreads.t,19.806462871412542
Cocoa.t_1,1.525647280472632
Oil.t_1,1.1000539884243818
Cocoa.t,1.0606959350875045
