Feature Sugar,VIF
Open_Interest.t_1,184147075199.38257
Total_Reportable_Shorts.t_1,159629814140.3845
Total_Reportable_Longs.t_1,134710226077.55287
Producer_Shorts.t_1,23326768676.499393
Mon.t_1_Manager_Shorts.t_1,11859494931.353556
Producer_Longs.t_1,9848683779.595835
Mon.t_1_Manager_Longs.t_1,5565462743.831217
Swap_Dealer_Shorts.t_1,5516864302.898433
`Other Reportable Spreads.t_1`,5428229738.653287
Swap_Dealer_Longs.t_1,4320565888.260455
Mon.t_1_Manager_Spreads.t_1,2481747754.590211
Swap_Dealer_Spreads.t_1,1567893262.8996422
Non_Reportable_Longs.t_1,1116912525.6765559
Non_Reportable_Shorts.t_1,1020126204.9221123
Other_Reportable_Longs.t_1,768307280.4909118
Other_Reportable_Shorts.t_1,114869338.85156517
Mon.t_1_Manager_Shorts.t,44.328763066002516
Mon.t_1_Manager_Longs.t,25.29708766827385
Mon.t_1_Manager_Spreads.t,12.697850654677103
Sugar.t_1,1.4567834980211336
Oil.t_1,1.0870361638611539
Sugar.t,1.0295433405154002
